"latnum","longnum","start","end","severity","cause","flood"
23.45261667,91.09986667,NA,NA,NA,NA,"All Households"
23.44811667,91.10151667,NA,NA,NA,NA,"All Households"
23.22476667,91.15251667,NA,NA,NA,NA,"All Households"
23.22498333,91.15926667,NA,NA,NA,NA,"All Households"
23.223,91.15095,NA,NA,NA,NA,"All Households"
23.22368333,91.15141667,NA,NA,NA,NA,"All Households"
23.2243,91.14885,NA,NA,NA,NA,"All Households"
23.22665,91.14758333,NA,NA,NA,NA,"All Households"
23.22565,91.14758333,NA,NA,NA,NA,"All Households"
23.74411667,91.01441667,NA,NA,NA,NA,"All Households"
23.74046667,91.01355,NA,NA,NA,NA,"All Households"
23.74713333,91.01436667,NA,NA,NA,NA,"All Households"
23.7455,91.01443333,NA,NA,NA,NA,"All Households"
23.74166667,91.00068333,NA,NA,NA,NA,"All Households"
23.74938333,90.9667,NA,NA,NA,NA,"All Households"
23.74953333,90.97033333,NA,NA,NA,NA,"All Households"
23.74918333,90.969,NA,NA,NA,NA,"All Households"
23.7471,90.96355,NA,NA,NA,NA,"All Households"
23.74646667,90.96471667,NA,NA,NA,NA,"All Households"
23.74646667,90.96466667,NA,NA,NA,NA,"All Households"
23.74896667,90.96401667,NA,NA,NA,NA,"All Households"
23.76535,90.96385,NA,NA,NA,NA,"All Households"
21.82595,92.06315,NA,NA,NA,NA,"All Households"
21.82628333,92.06346667,NA,NA,NA,NA,"All Households"
21.7535,92.06701667,NA,NA,NA,NA,"All Households"
21.8255,92.06263333,NA,NA,NA,NA,"All Households"
21.82016667,92.06195,NA,NA,NA,NA,"All Households"
21.82588333,92.06215,NA,NA,NA,NA,"All Households"
21.8261,92.06191667,NA,NA,NA,NA,"All Households"
21.53965,92.06926667,NA,NA,NA,NA,"All Households"
21.538,92.05028333,NA,NA,NA,NA,"All Households"
21.54096667,92.07088333,NA,NA,NA,NA,"All Households"
21.53861667,92.07008333,NA,NA,NA,NA,"All Households"
21.53866667,92.06893333,NA,NA,NA,NA,"All Households"
21.535,92.07403333,NA,NA,NA,NA,"All Households"
21.53405,92.07095,NA,NA,NA,NA,"All Households"
21.61445,91.91865,NA,NA,NA,NA,"All Households"
21.617,91.93335,NA,NA,NA,NA,"All Households"
21.60916667,91.9176,NA,NA,NA,NA,"All Households"
21.61458333,91.91926667,NA,NA,NA,NA,"All Households"
21.61358333,91.92185,NA,NA,NA,NA,"All Households"
21.61701667,91.91751667,NA,NA,NA,NA,"All Households"
21.61418333,91.92008333,NA,NA,NA,NA,"All Households"
21.60833333,91.91685,NA,NA,NA,NA,"All Households"
21.61481667,91.92148333,NA,NA,NA,NA,"All Households"
